,Author,Title,Poem,Category
10,dewfall,Dreamvampyre,"Sitting on the balcony with chin resting upon hand 

hand resting upon balustrade

Surveying the scene,

any mundanity of which was purified by quiet dreams;

wings soft and leathery were folded;

robes spilling and warm:

so warm that one didn't feel them,

the world tending to melt 

contours of the subjective body

into a hum of contemplation;

the softened blood sliding surreptitiously, 

unobtrusively,

through sighing, yielding veins. 

Peace filled the sweeping distances of this chasm; 

twisting gnarled formations of a citadel - 

a passionate note in the visual symphony. 

Eyes with wings dipped and wheeled their way 

through architecture and reach of tree arches; 

plummeted through, in between people 

on the valley floor below, and along the pathways 

winding along the vast cliff wall and into the shadows 

of foyers of dwellings as far as they would go. 

Drapery fluttered in the breezes;

colours in a profusion,

like some sort of slowly progressing fugue, 

made their way through the chiselled streets: 

a moment sliding into dusk, 
",Nature
11,Ikeena,Dodging Rain - That and the Drops,"dew drops of rain drip from brows
beat by seeds of water
thrown down on dread head
and i shake whats loose
that join companions
far ahead down below
rushing to a much too distant cup
rejoicing being filled
from so far away away away
down yonder way over yonder
as i skip very nearly a jump into puddles
and small rivers that grow
go to a raging end of long road
splashing down babbling street brooks
mud tween toes as thunders roar
echo through bent trees wind branch whipping
hard drops at head into open mouth
not fast enough for a real draught
but just enough to tease the willing palate
tasting songs of birds wrapped in clapped thunder
offering lightninged flashes and cold cool warm showers
beating down depressed
repressed years of no-play re-plays
of when we was young ones
running after curtains falling
from high low cloud-springs
missing muddy feet and that deep
red dirt so good to eat
after the washing
smelling trees soaked to the knees
shoulders down crown down and around
front-back
hey that car slashed me as we both ran
to get to the puddle first i was last and that was the blast
as the geyser of water covered me
bone soaked and loving it to the bone
membering times when this was the way
a joy that the kid still lives not too deeply
close to the surface ready to emerge
like cicadas in july as i fly to the next
puddle to see if i can splash the car
before it me but i am purposely slow
to be soaked in splash and spring rained
to shower road water off crown
round shoulder to knees deep
deep in babbling streets brooked
smile laughing at lightninged thunders
wonder still glinting in young old eyes

All Praises Be To Jah
5/23/15
ikeenadew drops of rain drip from brows
beat by seeds of water
thrown down on dread head
and i shake whats loose
that join companions
far ahead down below
rushing to a much too distant cup
rejoicing being filled
from so far away away away
down yonder way over yonder
as i skip very nearly a jump into puddles
and small rivers that grow
go to a raging end of long road
splashing down babbling street brooks
mud tween toes as thunders roar
echo through bent trees wind branch whipping
hard drops at head into open mouth
not fast enough for a real draught
but just enough to tease the willing palate
tasting songs of birds wrapped in clapped thunder
offering lightninged flashes and cold cool warm showers
beating down depressed
repressed years of no-play re-plays
of when we was young ones
running after curtains falling
from high low cloud-springs
missing muddy feet and that deep
red dirt so good to eat
after the washing
smelling trees soaked to the knees
shoulders down crown down and around
front-back
hey that car slashed me as we both ran
to get to the puddle first i was last and that was the blast
as the geyser of water covered me
bone soaked and loving it to the bone
membering times when this was the way
a joy that the kid still lives not too deeply
close to the surface ready to emerge
like cicadas in july as i fly to the next
puddle to see if i can splash the car
before it me but i am purposely slow
to be soaked in splash and spring rained
to shower road water off crown
round shoulder to knees deep
deep in babbling streets brooked
smile laughing at lightninged thunders
wonder still glinting in young old eyes

All Praises Be To Jah
5/23/15
ikeena
remembering ©  on May 25 2015 05:59 PM, Isaac Green Jr   nature  • beauty  • humor  • life  • spring    ",Nature
12,CarolDesjarlais,Atlantic Breathing,"
	long gulls cry as they pull sea to shore
	pointed teeth of outer reef foam at the mouth
	in never end of lash and crash of waves
	granite fingers point the way back
	into grueling roil and toil of anticipation
	to own more land
	stipple starfish and ripple clam
	cling to vine and stone
	lullabies awash with right whale song
	to walk your sea-cluttered edges    melting
	water and sand natural sculptures
	into your blurred line of horizon
	while capturing ocean gems of glass and shell
	ships bobble like ocean flowers
	cutting through viridian depths to stir
	seaweed beds until they weave like girlish chorus
	preparing for a well-metered chant
	crick and crack of gray birds
	speak in klatches of big ones that got away
	and dolphins dive deep   then drive to draw arcs in sky
	then drop through wind-capped wildness
	like sleek commas not knowing exactly where to be
	loons leave blue in evening skies
	in fluttering against coastal reeds
	while others seek night in burled trees
	sucking salt from briny air
	night hovers close gap between night and day
	a ruffled fog swings wide arms around
	last raptured flight of egret’s snap-eyed drop
	and out beyond in sudden stars, water palpitates
	pants and continues to lap with lathered tongue
	and ever gnaw with smaller nibbles
	a sudden hush, secrets of midnight’s nightly swarm
	a sought warmth     moon-bathing seals  stumble
	on granite out-croppings to pass the night less fearful
	The Atlantic sighs and breathes ancient aching annotations
	noted by old geezers who no longer sail
	but shuck clams and  tell you their stories
	of wrecks   of ocean mysteries   and of the sea
	as if she were a woman      moody as hell
	yet so seductive that they yearn and yarn
	to anyone who walks their clapboard docks
	or sit upon their granite shelves
	to mark time that is counted in numbers of waves
	©Carol Desjarlais 5.22.12
	google picture
	 

	 

	 

	 

	 

	 

	long gulls cry as they pull sea to shore

	pointed teeth of outer reef foam at the mouth

	in never end of lash and crash of waves

	granite fingers point the way back

	into grueling roil and toil of anticipation

	to own more land

	 

	stipple starfish and ripple clam

	cling to vine and stone

	lullabies awash with right whale song

	 

	to walk your sea-cluttered edges    melting

	water and sand natural sculptures

	into your blurred line of horizon

	while capturing ocean gems of glass and shell

	 

	ships bobble like ocean flowers

	cutting through viridian depths to stir

	seaweed beds until they weave like girlish chorus

	preparing for a well-metered chant

	 

	crick and crack of gray birds

	speak in klatches of big ones that got away

	and dolphins dive deep   then drive to draw arcs in sky

	then drop through wind-capped wildness

	like sleek commas not knowing exactly where to be

	 

	loons leave blue in evening skies

	in fluttering against coastal reeds

	while others seek night in burled trees

	sucking salt from briny air

	 

	night hovers close gap between night and day

	a ruffled fog swings wide arms around

	last raptured flight of egret’s snap-eyed drop

	 

	and out beyond in sudden stars, water palpitates

	pants and continues to lap with lathered tongue

	and ever gnaw with smaller nibbles

	a sudden hush, secrets of midnight’s nightly swarm

	a sought warmth     moon-bathing seals  stumble

	on granite out-croppings to pass the night less fearful

	 

	The Atlantic sighs and breathes ancient aching annotations

	noted by old geezers who no longer sail

	but shuck clams and  tell you their stories

	of wrecks   of ocean mysteries   and of the sea

	as if she were a woman      moody as hell

	yet so seductive that they yearn and yarn

	to anyone who walks their clapboard docks

	or sit upon their granite shelves

	to mark time that is counted in numbers of waves

	 

	 

	©Carol Desjarlais 5.22.12

	 

	 
	google picture ©  on May 22 2012 09:13 PM, Carol Desjarlais   nature  • maine    ",Nature
13,Mgreen,Wanderers,"The Nymph’s whisper 
awakens the weary wanders;
the melodic breeze loosens their sore backs.

Journeying, on the gypsy road, 
sifting through cruel and beautiful places,
with every new sight they take in, 
they witness moments.

A bearded storyteller
slowly moves his hand over a campfire;
his voice smooth as midnight. He entrances 
a little boy grinning with missing teeth.

A silver haired woman 
stands before her tribe,
pointing at a drawing in the dirt,
a wolf baying at the moon. 

A little girl
stares deeply into the palm 
of a newborn and promises 
 a long life for the little one.


A band of three
strum their string instruments,
couples stump their feet, and 
pick up on the merry jig.

A tall magician
twirls  his thumbs and a basket lifts 
off the ground, a curious woman
pokes at the oddity that continues to rise. 


People watch, wonder about, 
and wait for the wanderers
carried by the wind.
 ©  on Dec 14 2008 12:20 PM   ",Nature
14,G. Aurilio,When it's evening,"The scent of the sea has arrived
on the wings of the wind
and I have waited
for the sun to sleep
on the bed of the horizon
to let the city lights
dissolve my eyes
in the reflexes of the water
while a long trail
of gaudy golden jewels
stole my mind",Nature
15,iridescentdea,moments musicaux,"thunder booms and echoes into the distance--
a timpanist's sforzando entrance and roll that diminuendos--
allowing the sound of rain to crescendo from the silence left behind;
fat drops patter against the roof and the porch and the leaves 
in increasing tempo，
culminating in sheets pounding against the poor earth 
and then--
subito pianissimo, 
an impromptu calm.


(i.p.||6:57pm) ©  on Jul 03 2014 03:54 PM   ",Nature
16,Poiema,Heceta Head (prequel),"
	Along the meandering Highway 101,
	standing among majestic coastal paragons,
	beams an old house in traditional white.
	Perched above the battered rocks on the jagged edge
	where two different worlds collide, stands Heceta Head,
	a remnant of a time forgotten.
	Swirling above the rugged coastal cliffs,
	a burst of gale scatters a fine gray mist.
	Salty samples of the sea cling to skin.
	Tidal strikes from the Pacific’s persistent depths
	clashes with Oregon’s steadfast rocks without rest.
	The constant bout records the pulse of time.
	Thunderous clouds riding on a passionate squall
	mass at sea to announce the impending rainfall.
	Others cower but Heceta stands ground.
	Drawn into the harsh turmoil of the stirring force,
	Father Time is hurled back on his historic course.
	In a bolt, a hundred years have vanished.
	In a moments blink, Heceta pulsates to life,
	As a searching light shimmers across the sky;
	A solitary guard called to duty.
	The water laps thirstily at the scanning beam.
	Swells of secrecy carries mysteries unseen.
	The voice of the sea is veiled by darkness.
	The arriving storm joins the assault against land,
	from the shadows emerges a crusty seaman.
	An old sturdy weather beaten phantom.
	Engrossed in deep thought, he puffs on his hand carved pipe.
	The man peers at his life’s long companion with pride.
	Timeless yarns breathe like the smoke he exhales.
	Observing the raging mood of the relentless sea,
	the old man proclaims, “Tonight there will be no sleep”.
	He silently curses the western wind.
	In reply, volleys of rain strikes the besieged shore.
	Thunder ripples from the mighty hammer of Thor,
	crushing the clamor for peace from the weary.
	Through a hundred prisms flickers a guiding flame,
	as outside nature releases a fierce refrain.
	The sea’s assault on the life of sailors is fought.
	The wind squeals, the sea swells, and the storm thrashes.
	But the man and his house stand stern till it passes.
	Storm and time pass yet Heceta remains.
	Man and house guide the forsaken through treacherous nights
	revealing the hidden lines where land and sea fight,
	a flare till they reach the light of day.
	Man advanced beyond their service as centuries pass.
	Yet the house still stands , another relict that lasts.
	Storm and time pass yet Heceta remains.
	March 1992
	Along the meandering Highway 101,
	standing among majestic coastal paragons,
	beams an old house in traditional white.
	Perched above the battered rocks on the jagged edge
	where two different worlds collide, stands Heceta Head,
	a remnant of a time forgotten.
	Swirling above the rugged coastal cliffs,
	a burst of gale scatters a fine gray mist.
	Salty samples of the sea cling to skin.
	Tidal strikes from the Pacific’s persistent depths
	clashes with Oregon’s steadfast rocks without rest.
	The constant bout records the pulse of time.
	Thunderous clouds riding on a passionate squall
	mass at sea to announce the impending rainfall.
	Others cower but Heceta stands ground.
	Drawn into the harsh turmoil of the stirring force,
	Father Time is hurled back on his historic course.
	In a bolt, a hundred years have vanished.
	In a moments blink, Heceta pulsates to life,
	As a searching light shimmers across the sky;
	A solitary guard called to duty.
	The water laps thirstily at the scanning beam.
	Swells of secrecy carries mysteries unseen.
	The voice of the sea is veiled by darkness.
	The arriving storm joins the assault against land,
	from the shadows emerges a crusty seaman.
	An old sturdy weather beaten phantom.
	Engrossed in deep thought, he puffs on his hand carved pipe.
	The man peers at his life’s long companion with pride.
	Timeless yarns breathe like the smoke he exhales.
	Observing the raging mood of the relentless sea,
	the old man proclaims, “Tonight there will be no sleep”.
	He silently curses the western wind.
	In reply, volleys of rain strikes the besieged shore.
	Thunder ripples from the mighty hammer of Thor,
	crushing the clamor for peace from the weary.
	Through a hundred prisms flickers a guiding flame,
	as outside nature releases a fierce refrain.
	The sea’s assault on the life of sailors is fought.
	The wind squeals, the sea swells, and the storm thrashes.
	But the man and his house stand stern till it passes.
	Storm and time pass yet Heceta remains.
	Man and house guide the forsaken through treacherous nights
	revealing the hidden lines where land and sea fight,
	a flare till they reach the light of day.
	Man advanced beyond their service as centuries pass.
	Yet the house still stands , another relict that lasts.
	Storm and time pass yet Heceta remains.
	March 1992 ©  on Mar 23 2013 06:31 PM, Joe Lammert   nature     ",Nature
17,Morgana LaVey,Mellifluous Euphony,"
Clothed in shimmering melody
the notes dancing and swirling, forming a silken garment that flows most ethereal
A faerie singing her sweet aria;
sublime euphony twirling and lilting in crystalline air
The Undine beneath the rippling waters also singing sweet
as the stars glimmer and dance amidst velutinous clouds
A full lambent moon gently illuminates the scene as from the magicked piano a butterfly flits from the smoothly coruscating notes and alights upon her head fluttering it's wings as if dancing
together they fill the heavens with their soft beauty as she begins to dance with the butterfly beside the undulating rindle that is enchanted to seem boundless
her fluid grace a reflection of the stream and a welcome accompaniment
as she whirls and twists the gusts of breeze formed by her motion are redolent of chilled orchid
with the sweet undertone of honeysuckle after a cleansing rain
as the song drifts  to an end the heavens smile tenderly and the faerie flies to the sky with the butterfly left behind, now perched on pianos edge still with pulsating wings and awaiting the next dance.
	Prompt # 1 Picture # 2
Clothed in shimmering melody

the notes dancing and swirling, forming a silken garment that flows most ethereal

A faerie singing her sweet aria;

sublime euphony twirling and lilting in crystalline air

The Undine beneath the rippling waters also singing sweet

as the stars glimmer and dance amidst velutinous clouds

A full lambent moon gently illuminates the scene as from the magicked piano a butterfly flits from the smoothly coruscating notes and alights upon her head fluttering it's wings as if dancing

together they fill the heavens with their soft beauty as she begins to dance with the butterfly beside the undulating rindle that is enchanted to seem boundless

her fluid grace a reflection of the stream and a welcome accompaniment

as she whirls and twists the gusts of breeze formed by her motion are redolent of chilled orchid

with the sweet undertone of honeysuckle after a cleansing rain

as the song drifts  to an end the heavens smile tenderly and the faerie flies to the sky with the butterfly left behind, now perched on pianos edge still with pulsating wings and awaiting the next dance.

	 
	Prompt # 1 Picture # 2 ©  on Feb 21 2013 11:28 AM   fantasy  • music  • nature  • spiritual    ",Nature
18,tomisb,Catching Up ,"
	Crawled out of the covers, expected snow
	got misty rain and fog lay in tatters across the lake.
	The dog was ready.
	Rain stopped on cue.
	I feel the gravel push against the sole of my shoes. Ashen reeds,
	pale ghosts against the brown leaves glistening with rain.
	She stopped
	at the top of the slope, a silhouette against the clouds.
	We were ghosts in the valley. Walked through
	banks of fog that drifted across the dam. I hoped she waited.
	She laughed with recognition as we materialized out of the fog.
	Hear her voice. A trilling harp weaving around the waking geese and ducks,
	who wait for the sun to burn away the fog -- take flight.
	When we joined her, she pointed down to the lake. The geese
	gathered, a cacophony of honking; began to race and lift off,
	broke through curtains of fog as they formed a vee. White light,
	the morning sun climbed above the hill, shrouded in clouds.
	Her arm twined with mine and the hatted head pressed against me.
	The dog pulled on the leash. My love rose to tiptoes and kissed me on the chin.
	I began to disappear into a sunny fog. Let my arms encircle her.
	The dog raced about us, tied us tightly against one another, stumbling,
	trying to stand still -- we found
	silence in a kiss and a heart beat.
	Later, as the last shreds of morning lingered by the front door,
	she let me know it was good I had caught up with her.
	It was better together than to walk alone. I held on,
	aware, lingering scents of cinnamon, nutmeg and fall.
	1:29 PM
	11-27-12
	Stafford, VA
	Sensual, loving, and a gray fall morning. Least from where I stand.
	Crawled out of the covers, expected snow

	got misty rain and fog lay in tatters across the lake.

	 

	The dog was ready.

	Rain stopped on cue.

	 

	I feel the gravel push against the sole of my shoes. Ashen reeds,

	pale ghosts against the brown leaves glistening with rain.

	 

	She stopped

	at the top of the slope, a silhouette against the clouds.

	 

	We were ghosts in the valley. Walked through

	banks of fog that drifted across the dam. I hoped she waited.

	 

	She laughed with recognition as we materialized out of the fog.

	Hear her voice. A trilling harp weaving around the waking geese and ducks,

	who wait for the sun to burn away the fog -- take flight.

	 

	When we joined her, she pointed down to the lake. The geese

	gathered, a cacophony of honking; began to race and lift off,

	broke through curtains of fog as they formed a vee. White light,

	the morning sun climbed above the hill, shrouded in clouds.

	 

	Her arm twined with mine and the hatted head pressed against me.

	 

	The dog pulled on the leash. My love rose to tiptoes and kissed me on the chin.

	I began to disappear into a sunny fog. Let my arms encircle her.

	The dog raced about us, tied us tightly against one another, stumbling,

	trying to stand still -- we found

	silence in a kiss and a heart beat.

	 

	Later, as the last shreds of morning lingered by the front door,

	she let me know it was good I had caught up with her.

	It was better together than to walk alone. I held on,

	aware, lingering scents of cinnamon, nutmeg and fall.

	 

	 

	1:29 PM

	11-27-12

	Stafford, VA

	Sensual, loving, and a gray fall morning. Least from where I stand.
 ©  on Nov 27 2012 01:26 PM, Thomas Burson    life  • nature  • sensual  • spiritual     ",Nature
19,pine-needles,Sunset,"Subdued, we sit in silence
	raising wind-bitten faces
	to a horizon swallowed up in a
	blaze of orange and pink.

	Nylon rustles and scrapes as he shivers
	against me. I run my fingers lightly over
	jutting joints and vertebrae,
	the outline of slender ribs,
	awash in golden light.

	Then the sky is still again.
	""They're putting the horses in the stable now.""
	""Yes.""
	""Tell the story again. About the boy with wax wings.""

	So I return to a beginning,
	to knotted stone and twisted fibre,
	the lure of rippling muscle and hoof and tossed mane,
	the galloping forge leaving behind a mess
	of scorched feather and melted wax,
	flailing limbs.

	His small shoulder worms out of the nook in my arm
	and he is sprinting down the hill,
	sprawling, arms tickled by grass, back heaving.

	I wonder if the boy had the same raucous laugh,
	like the crashing of waves,
	suspended


	as he plummeted from the sky.Not my usual style... a few points I'm still not sure about.",Nature
